Genes,FC_mem_KO_mem WT
B930025P03Rik,2.340206186
Olfr772,2.34
Aknad1,2.337016575
Gm9888,2.336734694
Vnn1,2.333333333
Olfr911-ps1,2.333333333
Gm43666,2.333333333
Olfr1415,2.333333333
Olfr718-ps1,2.330097087
Cttnbp2,2.325714286
Oosp1,2.325
Ldhb,2.324414716
Tmed6,2.323529412
Syngr3,2.322222222
Gm8444,2.321428571
Tmem151b,2.320895522
9530059O14Rik,2.3203125
Pcdh12,2.319488818
Scube2,2.319148936
Cap2,2.318681319
Asb18,2.315789474
4930429H19Rik,2.315789474
4930502E09Rik,2.315789474
Gm45163,2.314814815
Nsg2,2.314479638
Nectin4,2.314159292
Olfr347,2.3125
Olfr741,2.31
Cd276,2.307692308
Gbp11,2.307692308
Spesp1,2.307017544
Tsacc,2.306306306
Cpxm1,2.298245614
Gm14487,2.29787234
Tmem53,2.297619048
Syce1l,2.295454545
Lrrc8e,2.294797688
A730018C14Rik,2.294117647
Olfr1241,2.291666667
Cpne9,2.289308176
Gm2885,2.289256198
C1ql3,2.288461538
Gm17399,2.288135593
Gm45351,2.282208589
Lect1,2.282051282
Cnga2,2.280487805
Wfdc18,2.278688525
Cdh18,2.274193548
Prss50,2.273722628
Tmem35a,2.270833333
Rbm3os,2.26984127
Mgst1,2.269129288
Ptchd1,2.268292683
Myt1,2.267175573
RP23-159E10.1,2.264150943
RP23-54G8.4,2.260273973
Plpp1,2.258706468
Tusc5,2.255555556
Gm14400,2.254901961
P3h3,2.254545455
Tmprss2,2.254545455
Cdh16,2.25
Plet1os,2.25
Sfrp2,2.24742268
Gm37004,2.246575342
Lrrc10,2.245614035
Gm16062,2.245283019
Sstr4,2.244565217
Zfp575,2.242857143
Gm42590,2.241666667
Prss57,2.241666667
Olfr665,2.234939759
Gdap1,2.234042553
Slc6a3,2.233333333
Tdrd6,2.231182796
Olfr443-ps1,2.229508197
Zfp264,2.229166667
Olfr701,2.225
Olfr170,2.224137931
Dlk2,2.220338983
Gm17019,2.22
Olfr25,2.218978102
Flnc,2.21875
Hmgcll1,2.217391304
Sfrp1,2.217391304
A730085K08Rik,2.217054264
Satl1,2.216666667
4930563E18Rik,2.216216216
Gprc6a,2.214285714
Nr0b1,2.211267606
Gm26631,2.209090909
Spock3,2.208333333
Dcaf12l1,2.203592814
Mapk4,2.202312139
Col1a2,2.202166065
Mcemp1,2.201232033
N4bp2os,2.2
RP23-100M12.7,2.2
4930447M23Rik,2.197674419
RP23-181A8.2,2.196891192
Gm21897,2.195876289
Serpina4-ps1,2.195652174
Zfp72,2.194560669
Ccdc110,2.193939394
Aox3,2.193548387
A630035G10Rik,2.193333333
Gpr150,2.192546584
Armcx1,2.191780822
Morn3,2.191780822
Lhx5,2.191489362
Gm14062,2.1875
Trim38,2.1875
Smc1b,2.184
Rlbp1,2.182926829
Gm44724,2.180555556
Gm15922,2.178861789
Fam163a,2.17679558
Nid1,2.175595238
B230208H11Rik,2.175202156
Gm26659,2.170886076
Zmynd15,2.166666667
Serinc4,2.166666667
Fam228b,2.161764706
3110021N24Rik,2.160377358
Olfr391-ps,2.157142857
3830417A13Rik,2.15625
Gm30075,2.15483871
Rbfox1,2.153846154
Gm18187,2.151260504
Fcnb,2.150637312
Pde6a,2.15
Gm28578,2.148514851
Gm13723,2.147368421
Olfr561,2.146067416
Rgs22,2.145833333
3632451O06Rik,2.144444444
Gm10814,2.142857143
Sparc,2.139705882
Gm16029,2.139130435
Pdgfa,2.13740458
Adamts9,2.135483871
4930524O07Rik,2.134259259
Kctd4,2.131578947
Dmpk,2.129979036
Rassf9,2.127272727
Nlrp9b,2.127272727
Arg1,2.125925926
Car12,2.125874126
Nkapl,2.125
Stk-ps2,2.125
Pnmal2,2.123595506
Tbxa2r,2.120603015
Il1rapl1,2.118012422
Vmn2r14,2.117647059
Ky,2.110429448
Grik3,2.108949416
Olfr768,2.108433735
Olfr557,2.107142857
Ncan,2.104761905
Ptprf,2.103343465
Pdzd9,2.102941176
Gm42742,2.101892285
Tmem17,2.101265823
Fbln2,2.1
Slc16a5,2.099415205
Gm5615,2.096774194
Gm16185,2.096590909
Olfr221,2.095238095
Lncenc1,2.09375
Mak,2.093406593
